Data Quality Report 20260506
Generated: 2026-05-06 16:21:14
Rows: 148

Flag counts:
  SHARED_EXPORTER_LABEL: 79
  OK: 67
  UNMAPPED_ACCOUNT;UNMAPPED_BOT: 1
  UNMAPPED_ACCOUNT;MISSING_EXITREASON;UNMAPPED_BOT: 1

Non-OK rows:
  2026-05-06 | 2026-05-06 13:10:07 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 13:10:44 | SimMomo1 | V3C | MomentumSlopeStrategy v1.2 | Momo 1mHA OG | NQ Expansion A | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 13:10:44 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 13:12:00 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 13:50:07 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 14:51:36 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 14:53:00 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 14:59:57 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 15:01:00 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 15:01:46 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 15:33:26 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 15:35:00 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 15:38:00 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 15:40:00 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 15:44:25 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
