trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,exported_strategy_name,exported_bot_name,registry_strategy_name,registry_bot_name,registry_tab_name,registry_chart_location,source_file,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,r_multiple,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-07,2026-05-07 09:30:01,2026-05-07 09:30:01,V3C,SimV3C-NQ-5A,ADX_DI_V3C,ADX 5m Trinity OFF,,LE,ADX_DI_V3C,,ADX 5m Trinity OFF,Bottom Right,C:\Users\Valued Customer\Downloads\tradeexport.csv,,NQ,NQ JUN26,LONG,1,28754.0,28764.25,205.0,205.0,41.0,WIN,TARGET_HIT,,,TREND_EXPANSION,BRACKET_MACRO,TrendDown,CASH_CLOSE,87,IB_BREAKOUT_VWAP_ACCEPTANCE_OVERRIDE,,TREND_EXPANSION,0.0,,,1,205.0,2026-05-07 17:17:26,NT_TRADE_EXPORT_SOURCE;NT_STRATEGY_BLANK;V3C_MATRIX_JOIN
2026-05-07,2026-05-07 09:30:01,2026-05-07 09:30:07,V3C,SimV3C-NQ-5A,ADX_DI_V3C,ADX 5m Trinity OFF,,LE,ADX_DI_V3C,,ADX 5m Trinity OFF,Bottom Right,C:\Users\Valued Customer\Downloads\tradeexport.csv,,NQ,NQ JUN26,LONG,1,28763.25,28739.0,-485.0,-485.0,-97.0,LOSS,STOP_HIT,,,TREND_EXPANSION,BRACKET_MACRO,TrendDown,CASH_CLOSE,87,IB_BREAKOUT_VWAP_ACCEPTANCE_OVERRIDE,,TREND_EXPANSION,0.1,,,2,-280.0,2026-05-07 17:17:26,NT_TRADE_EXPORT_SOURCE;NT_STRATEGY_BLANK;V3C_MATRIX_JOIN
2026-05-07,2026-05-07 09:30:01,2026-05-07 09:44:37,V3C,SimV3C-NQ-4A,Momo_V3C,Momentum Slope A,,LE,Momo_V3C,,Momentum Slope A,Bottom Left,C:\Users\Valued Customer\Downloads\tradeexport.csv,,NQ,NQ JUN26,LONG,1,28752.75,28741.75,-220.0,-220.0,-44.0,LOSS,SLOPE_EXIT,,,TREND_EXPANSION,BRACKET_MACRO,TrendDown,CASH_CLOSE,87,IB_BREAKOUT_VWAP_ACCEPTANCE_OVERRIDE,,TREND_EXPANSION,14.6,,,9,-570.0,2026-05-07 17:17:26,NT_TRADE_EXPORT_SOURCE;NT_STRATEGY_BLANK;V3C_MATRIX_JOIN
2026-05-07,2026-05-07 09:30:08,2026-05-07 09:31:19,V3C,SimV3C-NQ-5A,ADX_DI_V3C,ADX 5m Trinity OFF,,LE,ADX_DI_V3C,,ADX 5m Trinity OFF,Bottom Right,C:\Users\Valued Customer\Downloads\tradeexport.csv,,NQ,NQ JUN26,LONG,1,28739.75,28750.5,215.0,215.0,43.0,WIN,TARGET_HIT,,,TREND_EXPANSION,BRACKET_MACRO,TrendDown,CASH_CLOSE,87,IB_BREAKOUT_VWAP_ACCEPTANCE_OVERRIDE,,TREND_EXPANSION,1.18,,,3,-65.0,2026-05-07 17:17:26,NT_TRADE_EXPORT_SOURCE;NT_STRATEGY_BLANK;V3C_MATRIX_JOIN
2026-05-07,2026-05-07 09:31:19,2026-05-07 09:32:22,V3C,SimV3C-NQ-5A,ADX_DI_V3C,ADX 5m Trinity OFF,,LE,ADX_DI_V3C,,ADX 5m Trinity OFF,Bottom Right,C:\Users\Valued Customer\Downloads\tradeexport.csv,,NQ,NQ JUN26,LONG,1,28753.25,28729.0,-485.0,-485.0,-97.0,LOSS,STOP_HIT,,,TREND_EXPANSION,BRACKET_MACRO,TrendDown,CASH_CLOSE,87,IB_BREAKOUT_VWAP_ACCEPTANCE_OVERRIDE,,TREND_EXPANSION,1.05,,,4,-550.0,2026-05-07 17:17:26,NT_TRADE_EXPORT_SOURCE;NT_STRATEGY_BLANK;V3C_MATRIX_JOIN
2026-05-07,2026-05-07 09:32:22,2026-05-07 09:32:26,V3C,SimV3C-NQ-5A,ADX_DI_V3C,ADX 5m Trinity OFF,,LE,ADX_DI_V3C,,ADX 5m Trinity OFF,Bottom Right,C:\Users\Valued Customer\Downloads\tradeexport.csv,,NQ,NQ JUN26,LONG,1,28729.0,28740.75,235.0,235.0,47.0,WIN,TARGET_HIT,,,TRANSITION,UNRESOLVED,Balance,PREMARKET_CONTEXT,55,OPENING_OR_UNRESOLVED_UNRESOLVED,,TRANSITION,0.07,,,5,-315.0,2026-05-07 17:17:26,NT_TRADE_EXPORT_SOURCE;NT_STRATEGY_BLANK;V3C_MATRIX_JOIN
2026-05-07,2026-05-07 09:32:26,2026-05-07 09:33:23,V3C,SimV3C-NQ-5A,ADX_DI_V3C,ADX 5m Trinity OFF,,LE,ADX_DI_V3C,,ADX 5m Trinity OFF,Bottom Right,C:\Users\Valued Customer\Downloads\tradeexport.csv,,NQ,NQ JUN26,LONG,1,28741.0,28752.75,235.0,235.0,47.0,WIN,TARGET_HIT,,,TRANSITION,UNRESOLVED,Balance,PREMARKET_CONTEXT,55,OPENING_OR_UNRESOLVED_UNRESOLVED,,TRANSITION,0.95,,,6,-80.0,2026-05-07 17:17:26,NT_TRADE_EXPORT_SOURCE;NT_STRATEGY_BLANK;V3C_MATRIX_JOIN
2026-05-07,2026-05-07 09:33:23,2026-05-07 09:33:43,V3C,SimV3C-NQ-5A,ADX_DI_V3C,ADX 5m Trinity OFF,,LE,ADX_DI_V3C,,ADX 5m Trinity OFF,Bottom Right,C:\Users\Valued Customer\Downloads\tradeexport.csv,,NQ,NQ JUN26,LONG,1,28753.75,28764.75,220.0,220.0,44.0,WIN,TARGET_HIT,,,TRANSITION,UNRESOLVED,Balance,PREMARKET_CONTEXT,55,OPENING_OR_UNRESOLVED_UNRESOLVED,,TRANSITION,0.33,,,7,140.0,2026-05-07 17:17:26,NT_TRADE_EXPORT_SOURCE;NT_STRATEGY_BLANK;V3C_MATRIX_JOIN
2026-05-07,2026-05-07 09:33:44,2026-05-07 09:36:27,V3C,SimV3C-NQ-5A,ADX_DI_V3C,ADX 5m Trinity OFF,,LE,ADX_DI_V3C,,ADX 5m Trinity OFF,Bottom Right,C:\Users\Valued Customer\Downloads\tradeexport.csv,,NQ,NQ JUN26,LONG,1,28767.5,28743.0,-490.0,-490.0,-98.0,LOSS,STOP_HIT,,,TRANSITION,UNRESOLVED,Balance,PREMARKET_CONTEXT,55,OPENING_OR_UNRESOLVED_UNRESOLVED,,TRANSITION,2.72,,,8,-350.0,2026-05-07 17:17:26,NT_TRADE_EXPORT_SOURCE;NT_STRATEGY_BLANK;V3C_MATRIX_JOIN
2026-05-07,2026-05-07 10:34:25,2026-05-07 10:35:01,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader_V2,Kalman Fader Mode A,,KPF_Short1,KalmanPulse_Fader_V2,,Kalman Fader Mode A,Middle 3,C:\Users\Valued Customer\Downloads\tradeexport.csv,A,NQ,NQ JUN26,SHORT,1,28870.25,28869.25,20.0,20.0,4.0,WIN,ENVELOPE_BREAK_EXIT,,,TREND_COMPRESSION,BRACKET_MACRO,TrendUp,NEAR_IB_CONDITION,73,DEVELOPING_INITIATIVE_PHASE_AWARE,,TREND_COMPRESSION,0.6,,,10,-550.0,2026-05-07 17:17:26,NT_TRADE_EXPORT_SOURCE;NT_STRATEGY_BLANK;V3C_MATRIX_JOIN
