trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,exported_strategy_name,exported_bot_name,registry_strategy_name,registry_bot_name,registry_tab_name,registry_chart_location,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,r_multiple,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-05,2026-05-05 11:15:50,2026-05-05 11:16:29,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,1,28132.75,28129.5,-65.0,-65.0,-13.0,LOSS,SESSION_CLOSE,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.65,,,21,80.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 11:18:10,2026-05-05 11:19:49,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,1,28125.0,28126.5,30.0,30.0,6.0,WIN,SESSION_CLOSE,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,1.65,,,22,110.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 11:20:34,2026-05-05 11:21:55,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,1,28121.75,28130.75,180.0,180.0,36.0,WIN,SESSION_CLOSE,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,1.35,,,23,290.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 11:22:10,2026-05-05 11:25:04,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,1,28132.0,28121.0,-220.0,-220.0,-44.0,LOSS,STOP_HIT,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,2.9,,,24,70.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 11:26:00,2026-05-05 11:26:21,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,1,28122.5,28128.75,125.0,125.0,25.0,WIN,SESSION_CLOSE,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.35,,,25,195.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 11:26:45,2026-05-05 11:28:10,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,1,28132.75,28129.5,-65.0,-65.0,-13.0,LOSS,SESSION_CLOSE,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,1.42,,,26,130.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 11:30:46,2026-05-05 11:32:40,V3D,APEX7678400000190,UNKNOWN,UNMAPPED,,NQ_Sniper_A,UNKNOWN,,,,N/A,ES,ES JUN26,LONG,1,7282.75,7280.75,-100.0,-100.0,-8.0,LOSS,STOP_HIT,,,TREND_EMERGING,TREND,Balance,MID_MORNING_DISCOVERY,27,ES_MACRO_EMERGING,0,TREND_COMPRESSION,1.9,,,27,30.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT
2026-05-05,2026-05-05 11:57:38,2026-05-05 11:57:38,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,2,28122.0,28122.0,0.0,0.0,0.0,SCRATCH,AI,,,ROTATION_LIQUID,ROTATION,Transition,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,,28,30.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 11:59:53,2026-05-05 11:59:53,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,2,28124.25,28124.25,0.0,0.0,0.0,SCRATCH,AI,,,ROTATION_LIQUID,ROTATION,Transition,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,,29,30.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 13:03:35,2026-05-05 13:03:35,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,2,28128.75,28128.75,0.0,0.0,0.0,SCRATCH,AI,,,TRANSITION,TREND,Balance,LUNCH_AUCTION,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.0,,,30,30.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
