trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,exported_strategy_name,exported_bot_name,registry_strategy_name,registry_bot_name,registry_tab_name,registry_chart_location,source_file,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,r_multiple,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-07,2026-05-07 13:43:03,2026-05-07 13:45:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,SHORT,1,28649.25,28644.5,90.64,86.28,17.3,WIN,SLOPE_EXIT,28674.25,500.0,TREND_COMPRESSION,BRACKET_MACRO,TrendDown,POST_LUNCH_ROTATION,77.0,BRACKET_MACRO_WITH_INITIATIVE_EVIDENCE,0.0,TREND_COMPRESSION,1.95,0.17,0.17,11,2779.08,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 13:45:00,2026-05-07 13:46:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,SHORT,1,28660.75,28633.75,535.64,531.28,106.3,WIN,TARGET_HIT,28681.25,410.0,TREND_COMPRESSION,BRACKET_MACRO,TrendDown,POST_LUNCH_ROTATION,77.0,BRACKET_MACRO_WITH_INITIATIVE_EVIDENCE,0.0,TREND_COMPRESSION,1.0,1.3,1.3,12,3310.36,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 13:45:00,2026-05-07 13:45:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,SHORT,1,28659.75,28637.25,445.64,441.28,88.3,WIN,TARGET_HIT,28681.0,425.0,TREND_COMPRESSION,BRACKET_MACRO,TrendDown,POST_LUNCH_ROTATION,77.0,BRACKET_MACRO_WITH_INITIATIVE_EVIDENCE,0.0,TREND_COMPRESSION,0.0,1.04,1.04,13,3751.64,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 13:58:00,2026-05-07 13:58:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,LONG,1,28640.0,28668.0,555.64,551.28,110.3,WIN,TARGET_HIT,28626.25,275.0,TREND_COMPRESSION,BRACKET_MACRO,TrendDown,POST_LUNCH_ROTATION,69.0,BRACKET_MACRO_WITH_INITIATIVE_EVIDENCE,0.0,TREND_COMPRESSION,0.0,2.0,2.0,14,4302.92,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 14:09:53,2026-05-07 14:11:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,SHORT,1,28661.75,28682.25,-414.36,-418.72,-83.7,LOSS,SLOPE_EXIT,28684.0,445.0,TREND_COMPRESSION,BRACKET_MACRO,TrendDown,AFTERNOON_TREND_TEST,66.0,MICRO_TREND_INSIDE_MACRO_STRUCTURE,0.0,TREND_COMPRESSION,1.12,-0.94,-0.94,15,3884.2,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 14:11:00,2026-05-07 14:11:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,SHORT,1,28693.75,28666.0,550.64,546.28,109.3,WIN,TARGET_HIT,28706.5,255.0,TREND_COMPRESSION,BRACKET_MACRO,TrendDown,AFTERNOON_TREND_TEST,66.0,MICRO_TREND_INSIDE_MACRO_STRUCTURE,0.0,TREND_COMPRESSION,0.0,2.14,2.14,16,4430.48,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 14:11:00,2026-05-07 14:15:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,SHORT,1,28686.0,28683.5,45.64,41.28,8.3,WIN,SLOPE_EXIT,28691.0,100.0,TREND_COMPRESSION,BRACKET_MACRO,TrendDown,AFTERNOON_TREND_TEST,66.0,MICRO_TREND_INSIDE_MACRO_STRUCTURE,0.0,TREND_COMPRESSION,4.0,0.41,0.41,17,4471.76,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 15:12:41,2026-05-07 15:13:19,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,LONG,1,28648.25,28661.5,260.64,256.28,51.3,WIN,TARGET_HIT,28633.0,305.0,TRANSITION,BRACKET_MACRO,TrendDown,LATE_DAY_CONVICTION,50.0,MICRO_STALE_20.0MIN_BEHIND_MACRO,,,0.63,0.84,0.84,18,4728.04,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 15:18:00,2026-05-07 15:19:16,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,SHORT,1,28612.75,28612.0,10.64,6.28,1.3,WIN,SLOPE_EXIT,28632.5,395.0,TREND_COMPRESSION,BRACKET_MACRO,TrendDown,LATE_DAY_CONVICTION,66.0,MICRO_TREND_INSIDE_MACRO_STRUCTURE,,,1.27,0.02,0.02,19,4734.32,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 15:31:02,2026-05-07 15:31:42,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,LONG,1,28628.0,28640.25,240.64,236.28,47.3,WIN,TARGET_HIT,28611.75,325.0,TREND_COMPRESSION,BRACKET_MACRO,TrendDown,LATE_DAY_CONVICTION,66.0,MICRO_TREND_INSIDE_MACRO_STRUCTURE,,,0.67,0.73,0.73,20,4970.6,2026-05-07 16:22:27,OK
