trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,r_multiple,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-04,2026-05-04 10:07:52,2026-05-04 10:08:18,V3C,SimMomo1,MomentumSlopeStrategy v1.2,NQ Expansion A,N/A,NQ,NQ JUN26,LONG,1,27884.5,27864.25,-405.0,-405.0,-81.0,LOSS,STOP_HIT,,,TREND_COMPRESSION,BALANCE_STRUCTURE,TrendUp,END_FIRST_WINDOW,62,COMPRESSED_BALANCE_LOW_EDGE,0.0,TREND_COMPRESSION,0.43,,,1,-405.0,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:07:52,2026-05-04 10:08:18,V3C,SimMomo1,MomentumSlopeStrategy v1.2,OG_MomentumSlope_v1_2,N/A,NQ,NQ JUN26,LONG,1,27884.5,27864.25,-409.36,-413.72,-82.7,LOSS,STOP_HIT,27864.25,405.0,TREND_COMPRESSION,BALANCE_STRUCTURE,TrendUp,END_FIRST_WINDOW,62,COMPRESSED_BALANCE_LOW_EDGE,0.0,TREND_COMPRESSION,0.43,-1.02,-1.02,2,-818.72,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:08:19,2026-05-04 10:10:39,V3C,SimMomo1,MomentumSlopeStrategy v1.2,OG_MomentumSlope_v1_2,N/A,NQ,NQ JUN26,SHORT,1,27854.75,27870.0,-309.36,-313.72,-62.7,LOSS,SLOPE_EXIT,27878.0,465.0,TREND_COMPRESSION,BALANCE_STRUCTURE,TrendUp,END_FIRST_WINDOW,62,COMPRESSED_BALANCE_LOW_EDGE,0.0,TREND_COMPRESSION,2.33,-0.67,-0.67,3,-1132.44,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:08:19,2026-05-04 10:08:19,V3C,SimMomo1,MomentumSlopeStrategy v1.2,NQ Expansion A,N/A,NQ,NQ JUN26,SHORT,1,27862.0,27850.5,230.0,230.0,46.0,WIN,TARGET_HIT,,,TREND_COMPRESSION,BALANCE_STRUCTURE,TrendUp,END_FIRST_WINDOW,62,COMPRESSED_BALANCE_LOW_EDGE,0.0,TREND_COMPRESSION,0.0,,,4,-902.44,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:08:19,2026-05-04 10:10:39,V3C,SimMomo1,MomentumSlopeStrategy v1.2,NQ Expansion A,N/A,NQ,NQ JUN26,SHORT,1,27854.75,27870.0,-305.0,-305.0,-61.0,LOSS,SLOPE_EXIT,,,TREND_COMPRESSION,BALANCE_STRUCTURE,TrendUp,END_FIRST_WINDOW,62,COMPRESSED_BALANCE_LOW_EDGE,0.0,TREND_COMPRESSION,2.33,,,5,-1207.44,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:08:19,2026-05-04 10:08:19,V3C,SimMomo1,MomentumSlopeStrategy v1.2,OG_MomentumSlope_v1_2,N/A,NQ,NQ JUN26,SHORT,1,27862.0,27850.5,225.64,221.28,44.3,WIN,TARGET_HIT,27886.0,480.0,TREND_COMPRESSION,BALANCE_STRUCTURE,TrendUp,END_FIRST_WINDOW,62,COMPRESSED_BALANCE_LOW_EDGE,0.0,TREND_COMPRESSION,0.0,0.46,0.46,6,-986.16,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:11:54,2026-05-04 10:12:42,V3C,SimMomo1,MomentumSlopeStrategy v1.2,OG_MomentumSlope_v1_2,N/A,NQ,NQ JUN26,LONG,1,27893.75,27909.5,310.64,306.28,61.3,WIN,TARGET_HIT,27870.75,460.0,TRANSITION,BRACKET_MACRO,TrendUp,PRE_IB_MATURATION,50,NO_CLEAR_STAGE_C_ALIGNMENT,0.0,TREND_COMPRESSION,0.8,0.67,0.67,7,-679.88,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:11:54,2026-05-04 10:12:42,V3C,SimMomo1,MomentumSlopeStrategy v1.2,NQ Expansion A,N/A,NQ,NQ JUN26,LONG,1,27893.75,27909.5,315.0,315.0,63.0,WIN,TARGET_HIT,,,TRANSITION,BRACKET_MACRO,TrendUp,PRE_IB_MATURATION,50,NO_CLEAR_STAGE_C_ALIGNMENT,0.0,TREND_COMPRESSION,0.8,,,8,-364.88,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:56:31,2026-05-04 10:56:31,V3C,SimMomo1,MomentumSlopeStrategy v1.2,OG_MomentumSlope_v1_2,N/A,NQ,NQ JUN26,SHORT,1,27921.25,27913.5,150.64,146.28,29.3,WIN,TARGET_HIT,27936.25,300.0,TREND_COMPRESSION,BRACKET_MACRO,TrendUp,POST_IB_MACRO,71,DEVELOPING_INITIATIVE_PHASE_AWARE,0.0,TREND_COMPRESSION,0.0,0.49,0.49,9,-218.6,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:56:31,2026-05-04 10:56:37,V3C,SimMomo1,MomentumSlopeStrategy v1.2,OG_MomentumSlope_v1_2,N/A,NQ,NQ JUN26,SHORT,1,27914.75,27905.75,175.64,171.28,34.3,WIN,TARGET_HIT,27929.5,295.0,TREND_COMPRESSION,BRACKET_MACRO,TrendUp,POST_IB_MACRO,71,DEVELOPING_INITIATIVE_PHASE_AWARE,0.0,TREND_COMPRESSION,0.1,0.58,0.58,10,-47.32,2026-05-04 22:22:41,OK
