trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,r_multiple,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-05,2026-05-05 10:06:00,2026-05-05 10:06:37,OG,Sim101,MomentumRange_RangeBar,15 Range Momentum V1A,OG,NQ,NQ JUN26,LONG,1,28089.75,28100.75,220.0,220.0,44.0,WIN,STOP_HIT,,,TREND_COMPRESSION,TREND,TrendUp,FIRST_ACCEPTANCE,49,DIRECTIONAL_MODERATE,1,TREND_COMPRESSION,0.62,,,1,220.0,2026-05-05 16:38:01,OK
2026-05-05,2026-05-05 10:06:49,2026-05-05 10:07:38,OG,Sim101,MomentumRange_RangeBar,15 Range Momentum V1A,OG,NQ,NQ JUN26,LONG,1,28102.25,28096.0,-125.0,-125.0,-25.0,LOSS,SESSION_CLOSE,,,TREND_COMPRESSION,TREND,TrendUp,FIRST_ACCEPTANCE,49,DIRECTIONAL_MODERATE,1,TREND_COMPRESSION,0.82,,,2,95.0,2026-05-05 16:38:01,OK
2026-05-05,2026-05-05 10:08:07,2026-05-05 10:08:24,OG,Sim101,MomentumRange_RangeBar,15 Range Momentum V1A,OG,NQ,NQ JUN26,LONG,1,28095.5,28098.25,55.0,55.0,11.0,WIN,STOP_HIT,,,TREND_COMPRESSION,TREND,TrendUp,FIRST_ACCEPTANCE,49,DIRECTIONAL_MODERATE,1,TREND_COMPRESSION,0.28,,,3,150.0,2026-05-05 16:38:01,OK
