trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,export_timestamp
2026-05-05,2026-05-05 12:05:04,2026-05-05 12:27:28,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,N/A,NQ,NQ JUN26,LONG,1,28139.0000,28123.0000,-320.00,-320.00,-64.0,LOSS,Stop loss,28123.0000,320.00,2026-05-05 12:27:28
2026-05-05,2026-05-05 12:28:53,2026-05-05 12:39:59,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,N/A,NQ,NQ JUN26,LONG,1,28113.7500,28098.0000,-315.00,-315.00,-63.0,LOSS,Stop loss,28098.0000,315.00,2026-05-05 12:39:59
2026-05-05,2026-05-05 12:44:48,2026-05-05 12:47:28,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,N/A,NQ,NQ JUN26,LONG,1,28108.7500,28124.5000,315.00,315.00,63.0,WIN,Profit target,,,2026-05-05 12:47:29
2026-05-05,2026-05-05 13:04:20,2026-05-05 13:04:20,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,N/A,NQ,NQ JUN26,LONG,1,28134.5000,28118.7500,-315.00,-315.00,-63.0,LOSS,Stop loss,28118.7500,315.00,2026-05-05 13:08:56
2026-05-05,2026-05-05 13:15:01,2026-05-05 13:18:33,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,N/A,NQ,NQ JUN26,LONG,1,28124.0000,28139.7500,315.00,315.00,63.0,WIN,Profit target,,,2026-05-05 13:18:33
2026-05-01,2026-05-01 09:44:00,2026-05-01 09:44:18,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,N/A,NQ,NQ JUN26,LONG,1,27767.0000,27783.0000,320.00,320.00,64.0,WIN,Profit target,,,2026-05-06 10:03:09
2026-05-01,2026-05-01 09:46:03,2026-05-01 09:48:38,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,N/A,NQ,NQ JUN26,LONG,1,27767.0000,27783.2500,325.00,325.00,65.0,WIN,Profit target,,,2026-05-06 10:03:09
2026-05-01,2026-05-01 09:50:40,2026-05-01 09:50:40,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,N/A,NQ,NQ JUN26,LONG,1,27767.0000,27783.2500,325.00,325.00,65.0,WIN,Profit target,,,2026-05-06 10:03:09
2026-05-01,2026-05-01 09:52:22,2026-05-01 09:54:20,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,N/A,NQ,NQ JUN26,LONG,1,27787.0000,27803.2500,325.00,325.00,65.0,WIN,Profit target,,,2026-05-06 10:03:09
2026-05-01,2026-05-01 09:55:16,2026-05-01 09:55:17,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,N/A,NQ,NQ JUN26,LONG,1,27797.0000,27813.5000,330.00,330.00,66.0,WIN,Profit target,,,2026-05-06 10:03:09
2026-05-01,2026-05-01 10:00:30,2026-05-01 10:01:07,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,N/A,NQ,NQ JUN26,LONG,1,27862.0000,27878.0000,320.00,320.00,64.0,WIN,Profit target,,,2026-05-06 10:03:09
2026-05-01,2026-05-01 10:05:59,2026-05-01 10:06:20,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,N/A,NQ,NQ JUN26,LONG,1,27862.0000,27877.7500,315.00,315.00,63.0,WIN,Profit target,,,2026-05-06 10:03:09
2026-05-01,2026-05-01 10:12:26,2026-05-01 10:12:30,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,N/A,NQ,NQ JUN26,LONG,1,27877.0000,27893.0000,320.00,320.00,64.0,WIN,Profit target,,,2026-05-06 10:03:09
2026-05-01,2026-05-01 10:16:36,2026-05-01 10:18:57,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,N/A,NQ,NQ JUN26,LONG,1,27877.0000,27861.5000,-310.00,-310.00,-62.0,LOSS,Stop loss,,,2026-05-06 10:03:09
2026-05-01,2026-05-01 10:19:27,2026-05-01 10:20:14,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,N/A,NQ,NQ JUN26,LONG,1,27867.0000,27882.7500,315.00,315.00,63.0,WIN,Profit target,,,2026-05-06 10:03:09
2026-05-01,2026-05-01 10:32:03,2026-05-01 10:32:49,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,N/A,NQ,NQ JUN26,LONG,1,27847.0000,27831.2500,-315.00,-315.00,-63.0,LOSS,Stop loss,,,2026-05-06 10:03:09
