trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,export_timestamp
2026-05-04,2026-05-04 11:19:52,2026-05-04 11:21:26,V3C,SimV3C-NQ-1B,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27824.5000,27723.5000,2020.00,2020.00,404.0,WIN,Profit target,27865.5000,820.00,2026-05-07 07:28:09
2026-05-04,2026-05-04 11:32:41,2026-05-04 11:38:05,V3C,SimV3C-NQ-1B,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27764.5000,27734.5000,600.00,600.00,120.0,WIN,Wobble Eject,27806.2500,835.00,2026-05-07 07:28:09
2026-05-04,2026-05-04 12:07:54,2026-05-04 12:08:29,V3C,SimV3C-NQ-1B,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27689.5000,27629.5000,1200.00,1200.00,240.0,WIN,Wobble Eject,27730.7500,825.00,2026-05-07 07:28:09
2026-05-04,2026-05-04 12:51:23,2026-05-04 13:01:40,V3C,SimV3C-NQ-1B,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27719.5000,27704.5000,300.00,300.00,60.0,WIN,Wobble Eject,27761.5000,840.00,2026-05-07 07:28:09
2026-05-04,2026-05-04 14:23:18,2026-05-04 14:59:42,V3C,SimV3C-NQ-1B,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27794.5000,27734.5000,1200.00,1200.00,240.0,WIN,Wobble Eject,27836.7500,845.00,2026-05-07 07:28:09
2026-05-05,2026-05-05 09:31:07,2026-05-05 09:33:14,V3C,SimV3C-NQ-1B,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,28003.5000,27988.5000,300.00,300.00,60.0,WIN,Wobble Eject,28062.7500,1185.00,2026-05-07 07:28:09
2026-05-05,2026-05-05 10:00:19,2026-05-05 10:10:22,V3C,SimV3C-NQ-1B,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,28093.5000,28078.5000,300.00,300.00,60.0,WIN,Wobble Eject,28143.5000,1000.00,2026-05-07 07:28:09
2026-05-05,2026-05-05 12:28:09,2026-05-05 13:18:33,V3C,SimV3C-NQ-1B,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,28123.5000,28108.5000,300.00,300.00,60.0,WIN,Wobble Eject,28167.2500,875.00,2026-05-07 07:28:09
2026-05-05,2026-05-05 15:50:11,2026-05-05 16:18:28,V3C,SimV3C-NQ-1B,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,28168.5000,28138.5000,600.00,600.00,120.0,WIN,Wobble Eject,28211.0000,850.00,2026-05-07 07:28:09
2026-05-05,2026-05-05 16:45:02,2026-05-05 16:59:59,V3C,SimV3C-NQ-1B,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,28228.5000,28207.2500,425.00,425.00,85.0,WIN,Exit on session close,28270.2500,835.00,2026-05-07 07:28:09
2026-05-06,2026-05-06 09:30:00,2026-05-06 09:30:00,V3C,SimV3C-NQ-1B,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,28344.5000,28359.5000,-300.00,-300.00,-60.0,LOSS,Wobble Eject,28460.2500,2315.00,2026-05-07 07:28:09
2026-05-06,2026-05-06 09:50:30,2026-05-06 09:54:03,V3C,SimV3C-NQ-1B,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,28479.5000,28449.5000,600.00,600.00,120.0,WIN,Wobble Eject,28526.5000,940.00,2026-05-07 07:28:09
2026-05-06,2026-05-06 11:43:12,2026-05-06 12:10:27,V3C,SimV3C-NQ-1B,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,28569.5000,28554.5000,300.00,300.00,60.0,WIN,Wobble Eject,28611.0000,830.00,2026-05-07 07:28:09
