trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,export_timestamp
2026-05-01,2026-05-01 11:05:00,2026-05-01 11:20:00,V3C,SimV3C-NQ-4A,Momo 5M OG,Momo 5M OG,N/A,NQ,NQ JUN26,SHORT,1,27795.2500,27867.7500,-1450.00,-1450.00,-290.0,LOSS,Stop loss,,,2026-05-05 07:39:28
2026-05-01,2026-05-01 12:10:00,2026-05-01 13:15:00,V3C,SimV3C-NQ-4A,Momo 5M OG,Momo 5M OG,N/A,NQ,NQ JUN26,SHORT,1,27847.2500,27856.7500,-190.00,-190.00,-38.0,LOSS,SlopeX,,,2026-05-05 07:39:28
2026-05-04,2026-05-04 09:35:00,2026-05-04 10:10:00,V3C,SimV3C-NQ-4A,Momo 5M OG,Momo 5M OG,N/A,NQ,NQ JUN26,LONG,1,27828.2500,27856.0000,555.00,555.00,111.0,WIN,SlopeX,,,2026-05-05 07:39:28
2026-05-04,2026-05-04 11:00:00,2026-05-04 11:20:00,V3C,SimV3C-NQ-4A,Momo 5M OG,Momo 5M OG,N/A,NQ,NQ JUN26,SHORT,1,27881.5000,27761.2500,2405.00,2405.00,481.0,WIN,Profit target,,,2026-05-05 07:39:28
2026-05-04,2026-05-04 13:25:00,2026-05-04 14:00:00,V3C,SimV3C-NQ-4A,Momo 5M OG,Momo 5M OG,N/A,NQ,NQ JUN26,LONG,1,27796.7500,27791.7500,-100.00,-100.00,-20.0,LOSS,SlopeX,,,2026-05-05 07:39:28
2026-05-05,2026-05-05 12:30:00,2026-05-05 12:40:00,V3C,SimV3C-NQ-4A,Momo 5M OG,Momo 5M OG,N/A,NQ,NQ JUN26,SHORT,1,28108.0000,28109.7500,-35.00,-35.00,-7.0,LOSS,SlopeX,,,2026-05-05 12:35:01
2026-05-05,2026-05-05 12:50:00,2026-05-05 13:00:00,V3C,SimV3C-NQ-4A,Momo 5M OG,Momo 5M OG,N/A,NQ,NQ JUN26,LONG,1,28120.7500,28123.0000,45.00,45.00,9.0,WIN,SlopeX,,,2026-05-05 12:55:00
2026-05-01,2026-05-01 11:05:00,2026-05-01 11:20:00,V3C,SimV3C-NQ-4A,Momo 5M OG,Momo 5M OG,N/A,NQ,NQ JUN26,SHORT,1,27795.2500,27867.7500,-1450.00,-1450.00,-290.0,LOSS,Stop loss,,,2026-05-05 19:30:43
2026-05-01,2026-05-01 12:10:00,2026-05-01 13:15:00,V3C,SimV3C-NQ-4A,Momo 5M OG,Momo 5M OG,N/A,NQ,NQ JUN26,SHORT,1,27847.2500,27856.7500,-190.00,-190.00,-38.0,LOSS,SlopeX,,,2026-05-05 19:30:43
2026-05-04,2026-05-04 09:35:00,2026-05-04 10:10:00,V3C,SimV3C-NQ-4A,Momo 5M OG,Momo 5M OG,N/A,NQ,NQ JUN26,LONG,1,27828.2500,27856.0000,555.00,555.00,111.0,WIN,SlopeX,,,2026-05-05 19:30:43
