"Category","SourcePath","CopiedPath","Bytes","LastWriteTime","Lines","HeaderOrFirstLine","Note"
"06_OG_Baseline","UNIFIED\Strategy Analyzer\bot tests\ADX_Pine__Jan26_Apr10WALK_OPT.csv","06_OG_Baseline\UNIFIED\Strategy Analyzer\bot tests\ADX_Pine__Jan26_Apr10WALK_OPT.csv","3159","2026-04-12 11:01:13","6","Instrument,Performance,Start date,End date,Parameters,Total net profit,Gross profit,Gross loss,Profit factor,Max. drawdown,Total # of trades,Percent profitable,","Strategy Analyzer baseline and bot-test exports, including OG candidates."
"06_OG_Baseline","UNIFIED\Strategy Analyzer\bot tests\Momentumv1.2_Jan26_Apr10.csv","06_OG_Baseline\UNIFIED\Strategy Analyzer\bot tests\Momentumv1.2_Jan26_Apr10.csv","1521","2026-04-12 10:02:09","46","Performance,All trades,Long trades,Short trades,","Strategy Analyzer baseline and bot-test exports, including OG candidates."
"06_OG_Baseline","UNIFIED\Strategy Analyzer\bot tests\Momentumv1.2_Jan26_Apr10_trades.csv","06_OG_Baseline\UNIFIED\Strategy Analyzer\bot tests\Momentumv1.2_Jan26_Apr10_trades.csv","103752","2026-04-12 10:18:14","643","Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,","Strategy Analyzer baseline and bot-test exports, including OG candidates."
"06_OG_Baseline","UNIFIED\Strategy Analyzer\bot tests\Momentumv1.2_Jan26_Apr10TRADES.csv","06_OG_Baseline\UNIFIED\Strategy Analyzer\bot tests\Momentumv1.2_Jan26_Apr10TRADES.csv","103752","2026-04-12 16:05:07","643","Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,","Strategy Analyzer baseline and bot-test exports, including OG candidates."
"06_OG_Baseline","UNIFIED\Strategy Analyzer\bot tests\Momentumv1.2_Jan26_Apr10WALKOPT.csv","06_OG_Baseline\UNIFIED\Strategy Analyzer\bot tests\Momentumv1.2_Jan26_Apr10WALKOPT.csv","1840","2026-04-12 10:51:09","3","Instrument,Performance,Start date,End date,Parameters,Total net profit,Gross profit,Gross loss,Profit factor,Max. drawdown,Total # of trades,Percent profitable,","Strategy Analyzer baseline and bot-test exports, including OG candidates."
"06_OG_Baseline","UNIFIED\Strategy Analyzer\bot tests\Momentumv1.2_Jan26_Apr10WALKOPT2.csv","06_OG_Baseline\UNIFIED\Strategy Analyzer\bot tests\Momentumv1.2_Jan26_Apr10WALKOPT2.csv","6254","2026-04-12 11:17:40","6","Instrument,Performance,Start date,End date,Parameters,Total net profit,Gross profit,Gross loss,Profit factor,Max. drawdown,Total # of trades,Percent profitable,","Strategy Analyzer baseline and bot-test exports, including OG candidates."
"06_OG_Baseline","UNIFIED\Strategy Analyzer\bot tests\Momentumv1.2_Jan26_Apr10WALKOPT3.csv","06_OG_Baseline\UNIFIED\Strategy Analyzer\bot tests\Momentumv1.2_Jan26_Apr10WALKOPT3.csv","6254","2026-04-12 11:17:56","6","Instrument,Performance,Start date,End date,Parameters,Total net profit,Gross profit,Gross loss,Profit factor,Max. drawdown,Total # of trades,Percent profitable,","Strategy Analyzer baseline and bot-test exports, including OG candidates."
"06_OG_Baseline","UNIFIED\Strategy Analyzer\bot tests\Momentumv1.2_Jan26_Apr10WALKOPT4.csv","06_OG_Baseline\UNIFIED\Strategy Analyzer\bot tests\Momentumv1.2_Jan26_Apr10WALKOPT4.csv","6254","2026-04-12 11:18:10","6","Instrument,Performance,Start date,End date,Parameters,Total net profit,Gross profit,Gross loss,Profit factor,Max. drawdown,Total # of trades,Percent profitable,","Strategy Analyzer baseline and bot-test exports, including OG candidates."
"06_OG_Baseline","UNIFIED\Strategy Analyzer\bot tests\Momentumv1.2_Jan26_Apr10WALKOPT5.csv","06_OG_Baseline\UNIFIED\Strategy Analyzer\bot tests\Momentumv1.2_Jan26_Apr10WALKOPT5.csv","6254","2026-04-12 11:18:26","6","Instrument,Performance,Start date,End date,Parameters,Total net profit,Gross profit,Gross loss,Profit factor,Max. drawdown,Total # of trades,Percent profitable,","Strategy Analyzer baseline and bot-test exports, including OG candidates."
"06_OG_Baseline","UNIFIED\Strategy Analyzer\bot tests\MOMO_04152026WEDS.csv","06_OG_Baseline\UNIFIED\Strategy Analyzer\bot tests\MOMO_04152026WEDS.csv","858","2026-04-15 15:41:35","4","Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,Sharpe,Profit p.m.,Sortino,Ulcer,Entry efficiency,Exit efficiency,Total efficiency,","Strategy Analyzer baseline and bot-test exports, including OG candidates."
