trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,exported_strategy_name,exported_bot_name,registry_strategy_name,registry_bot_name,registry_tab_name,registry_chart_location,source_file,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,r_multiple,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-07,2026-05-07 10:34:25,2026-05-07 10:35:01,V1B,SimV1A Kalman Fader 3,KalmanPulse_Fader_V1B,KalmanPulse_Fader_B,KalmanPulse_Fader_V1B,KalmanPulse_Fader_B,KalmanPulse_Fader,,Kalman Fade Mode B,Middle 3,C:\Users\Valued Customer\NT8_Regimes\V1B\TradeLog\KalmanPulse_Fader_B_TradeLog.csv,B,NQ,NQ JUN26,SHORT,2,28870.25,28869.25,40.0,40.0,8.0,WIN,ENVELOPE_BREAK_EXIT,28878.0,310.0,TRANSITION,TREND,Balance,PRE_IB_MATURATION,0.0,HIGH_CONFLICT,0.0,TREND_COMPRESSION,0.6,0.13,0.13,1,40.0,2026-05-07 16:22:27,SHARED_EXPORTER_LABEL
2026-05-07,2026-05-07 10:39:55,2026-05-07 10:40:01,V1B,SimV1A Kalman Fader 3,KalmanPulse_Fader_V1B,KalmanPulse_Fader_B,KalmanPulse_Fader_V1B,KalmanPulse_Fader_B,KalmanPulse_Fader,,Kalman Fade Mode B,Middle 3,C:\Users\Valued Customer\NT8_Regimes\V1B\TradeLog\KalmanPulse_Fader_B_TradeLog.csv,B,NQ,NQ JUN26,SHORT,2,28899.25,28909.75,-420.0,-420.0,-84.0,LOSS,ENVELOPE_BREAK_EXIT,28914.25,600.0,ROTATION_LIQUID,ROTATION,Balance,POST_IB_MACRO,76.0,HMM_BALANCE_ROTATION_CONFIRMED,0.0,TREND_COMPRESSION,0.1,-0.7,-0.7,2,-380.0,2026-05-07 16:22:27,SHARED_EXPORTER_LABEL
2026-05-07,2026-05-07 10:43:53,2026-05-07 10:44:00,V1B,SimV1A Kalman Fader 3,KalmanPulse_Fader_V1B,KalmanPulse_Fader_B,KalmanPulse_Fader_V1B,KalmanPulse_Fader_B,KalmanPulse_Fader,,Kalman Fade Mode B,Middle 3,C:\Users\Valued Customer\NT8_Regimes\V1B\TradeLog\KalmanPulse_Fader_B_TradeLog.csv,B,NQ,NQ JUN26,SHORT,2,28890.25,28892.75,-95.0,-95.0,-19.0,LOSS,ENVELOPE_BREAK_EXIT,28899.5,370.0,ROTATION_LIQUID,ROTATION,Balance,POST_IB_MACRO,76.0,HMM_BALANCE_ROTATION_CONFIRMED,0.0,TREND_COMPRESSION,0.12,-0.26,-0.26,3,-475.0,2026-05-07 16:22:27,SHARED_EXPORTER_LABEL
2026-05-07,2026-05-07 15:11:08,2026-05-07 15:11:08,V1B,SimV1A Kalman Fader 3,KalmanPulse_Fader_V1B,KalmanPulse_Fader_B,KalmanPulse_Fader_V1B,KalmanPulse_Fader_B,KalmanPulse_Fader,,Kalman Fade Mode B,Middle 3,C:\Users\Valued Customer\NT8_Regimes\V1B\TradeLog\KalmanPulse_Fader_B_TradeLog.csv,B,NQ,NQ JUN26,SHORT,2,28629.0,28626.5,65.0,65.0,13.0,WIN,TARGET_HIT,28639.0,400.0,,,,,,,,,0.0,0.16,0.16,4,-410.0,2026-05-07 16:22:27,UNAVAILABLE_REGIME;SHARED_EXPORTER_LABEL
2026-05-07,2026-05-07 15:12:05,2026-05-07 15:12:09,V1B,SimV1A Kalman Fader 3,KalmanPulse_Fader_V1B,KalmanPulse_Fader_B,KalmanPulse_Fader_V1B,KalmanPulse_Fader_B,KalmanPulse_Fader,,Kalman Fade Mode B,Middle 3,C:\Users\Valued Customer\NT8_Regimes\V1B\TradeLog\KalmanPulse_Fader_B_TradeLog.csv,B,NQ,NQ JUN26,SHORT,2,28636.5,28640.0,-140.0,-140.0,-28.0,LOSS,STOP_HIT,28640.0,140.0,,,,,,,,,0.07,-1.0,-1.0,5,-550.0,2026-05-07 16:22:27,UNAVAILABLE_REGIME;SHARED_EXPORTER_LABEL
