trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,r_multiple,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-05,2026-05-05 09:39:01,2026-05-05 09:39:01,V3D,APEX7678400000190,UNKNOWN,NQ_Sniper_A,N/A,ES,ES JUN26,LONG,1,7269.25,7269.25,0.0,0.0,0.0,SCRATCH,AI,,,TREND_COMPRESSION,TREND,TrendDown,OPENING_AUCTION,41,DIRECTIONAL_MODERATE,,,0.0,,,1,0.0,2026-05-05 16:21:34,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 10:48:02,2026-05-05 10:49:21,V3D,APEX7678400000190,UNKNOWN,NQ_Sniper_A,N/A,ES,ES JUN26,LONG,2,7274.25,7277.75,350.0,350.0,14.0,WIN,SESSION_CLOSE,,,ROTATION_LIQUID,ROTATION,Balance,POST_IB_MACRO,80,HMM_BALANCE_ROTATION_CONFIRMED,,,1.32,,,10,285.0,2026-05-05 16:21:34,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 11:30:46,2026-05-05 11:32:40,V3D,APEX7678400000190,UNKNOWN,NQ_Sniper_A,N/A,ES,ES JUN26,LONG,1,7282.75,7280.75,-100.0,-100.0,-8.0,LOSS,STOP_HIT,,,TREND_EMERGING,TREND,Balance,MID_MORNING_DISCOVERY,27,ES_MACRO_EMERGING,,,1.9,,,27,30.0,2026-05-05 16:21:34,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 13:49:59,2026-05-05 13:51:40,V3D,SimV3D-NQ-3A,Fader_V3D,V3D_Fader_A,N/A,NQ,NQ JUN26,SHORT,4,28151.88,28159.5,-610.0,-610.0,-122.0,LOSS,STOP_HIT,28159.5,610.0,ROTATION_LIQUID,ROTATION,Transition,POST_LUNCH_ROTATION,70,TWO_SIDED_CONFIRMED,,,1.68,-1.0,-1.0,1,-610.0,2026-05-05 16:21:34,OK
2026-05-05,2026-05-05 13:50:00,2026-05-05 13:51:40,V3D,SimV3D-NQ-3A,Fader_V3D,15 Range Momentum V1A,N/A,NQ,NQ JUN26,SHORT,1,28151.75,28159.5,-155.0,-155.0,-31.0,LOSS,STOP_HIT,,,ROTATION_LIQUID,ROTATION,Transition,POST_LUNCH_ROTATION,70,TWO_SIDED_CONFIRMED,,,1.67,,,2,-765.0,2026-05-05 16:21:34,OK
2026-05-05,2026-05-05 10:25:15,2026-05-05 10:27:01,V3D,SimV3D-NQ-5A,ADX_DI_V3D,V3D_ADX_DI_A,N/A,NQ,NQ JUN26,LONG,1,28131.5,28121.5,-200.0,-200.0,-40.0,LOSS,STOP_HIT,28100.25,625.0,TREND_COMPRESSION,TREND,TrendUp,PRE_IB_MATURATION,44,DIRECTIONAL_MODERATE,,,1.77,-0.32,-0.32,1,-200.0,2026-05-05 16:21:34,OK
